	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	1	5	9	10	12
13	1	5	9	10	12
14	4	5	9	11	12
15	4	5	9	11	12
16	4	5	9	11	12
17	4	5	9	11	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	1	5	9	10	12
23	1	5	9	10	12
24	2	5	9	10	12
25	2	5	9	10	12
26	1	5	9	10	12
27	1	5	9	10	12
28	1	5	8	10	12
29	1	5	8	10	12
30	1	5	8	10	12
31	1	5	8	10	12
32	1	5	8	10	12
33	1	5	8	10	12
34	1	5	8	10	12
35	1	5	8	10	12
36	4	5	9	11	12
37	4	5	9	11	12
38	4	5	9	11	12
39	4	5	9	11	12
40	4	5	9	11	12
41	4	5	9	11	12
42	4	5	9	11	12
43	4	5	9	11	12
44	4	5	9	11	12
45	4	5	9	11	12
46	1	5	8	10	12
47	1	5	8	10	12
48	1	5	9	10	12
49	1	5	9	10	12
50	1	5	9	10	12
51	1	5	9	10	12
52	4	5	9	11	12
53	4	5	9	11	12
54	4	5	9	11	12
55	4	5	9	11	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
62	1	5	8	10	12
63	1	5	8	10	12
64	1	5	8	10	12
65	1	5	8	10	12
66	4	5	9	11	12
67	4	5	9	11	12
68	4	5	9	11	12
69	4	5	9	11	12
70	4	5	9	11	12
71	4	5	9	11	12
72	4	5	9	11	12
73	4	5	9	11	12
