	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	1	5	9	10	12
3	1	5	9	10	12
4	2	5	9	10	12
5	2	5	9	10	12
6	1	5	8	10	12
7	1	5	8	10	12
8	1	5	8	10	12
9	1	5	8	10	12
10	1	5	8	10	12
11	1	5	8	10	12
12	1	5	8	10	12
13	1	5	8	10	12
14	1	5	8	10	12
15	1	5	8	10	12
16	1	5	8	10	12
17	1	5	8	10	12
18	1	5	9	10	12
19	1	5	9	10	12
20	2	5	9	10	12
21	2	5	9	10	12
22	1	5	9	10	12
23	1	5	9	10	12
24	4	5	9	11	12
25	4	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	1	5	9	10	12
35	1	5	9	10	12
36	1	5	8	10	12
37	1	5	8	10	12
38	1	5	8	10	12
39	1	5	8	10	12
40	1	5	8	10	12
41	1	5	8	10	12
42	1	5	8	10	12
43	1	5	8	10	12
44	1	5	8	10	12
45	1	5	8	10	12
46	1	5	9	10	12
47	1	5	9	10	12
48	4	5	9	11	12
49	4	5	9	11	12
50	4	5	9	11	12
51	4	5	9	11	12
52	4	5	9	11	12
53	4	5	9	11	12
54	4	5	9	11	12
55	4	5	9	11	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
